VOLCANO	LOCATION	ELEV_M	LAT	LONG	ERUPTED	VNUM
Pulau Weh	Sumatra	617	5.82	95.28	Uncertain	0601-01=
Seulawah Agam	Sumatra	1810	5.45	95.66	AD 0-1899	0601-02=
Peuet Sague	Sumatra	2801	4.91	96.33	AD 1900-2005	0601-03=
Geureudong	Sumatra	2885	4.81	96.82	AD 1900-2005	0601-04=
Kembar	Sumatra	2245	3.85	97.66	Uncertain	0601-06=
Sibayak	Sumatra	2212	3.2	98.52	AD 0-1899	0601-07=
Sinabung	Sumatra	2460	3.17	98.39	Holocene	0601-08=
Toba	Sumatra	2157	2.58	98.83	Holocene	0601-09=
Imun	Sumatra	1505	2.15	98.93	Uncertain	0601-101
Helatoba-Tarutung	Sumatra	1100	2.03	98.93	Uncertain	0601-10=
Lubukraya	Sumatra	1862	1.48	99.21	Uncertain	0601-111
Sibualbuali	Sumatra	1819	1.56	99.26	Uncertain	0601-11=
Sorikmarapi	Sumatra	2145	0.69	99.54	AD 1900-2005	0601-12=
Sarik-Gajah	Sumatra	0	0.08	100.2	Uncertain	0601-131
Talakmau	Sumatra	2919	0.08	99.98	Holocene	0601-13=
Marapi	Sumatra	2891	-0.38	100.47	AD 1900-2005	0601-14=
Tandikat	Sumatra	2438	-0.43	100.32	AD 1900-2005	0601-15=
Talang	Sumatra	2597	-0.98	100.68	AD 1900-2005	0601-16=
Hutapanjang	Sumatra	2021	-2.33	101.6	Holocene	0601-171
Kerinci	Sumatra	3800	-1.81	101.26	AD 1900-2005	0601-17=
Sumbing	Sumatra	2507	-2.41	101.73	AD 1900-2005	0601-18=
Pendan	Sumatra	0	-2.82	102.02	Holocene	0601-191
Kunyit	Sumatra	2151	-2.59	101.63	Holocene	0601-19=
Belirang-Beriti	Sumatra	1958	-2.82	102.18	Holocene	0601-20=
Daun, Bukit	Sumatra	2467	-3.38	102.37	Holocene	0601-21=
Kaba	Sumatra	1952	-3.52	102.62	AD 1900-2005	0601-22=
Patah	Sumatra	2817	-4.27	103.3	Uncertain	0601-231
Dempo	Sumatra	3173	-4.03	103.13	AD 1900-2005	0601-23=
Lumut Balai, Bukit	Sumatra	2055	-4.22	103.62	Holocene	0601-24=
Ranau	Sumatra	1881	-4.83	103.92	Uncertain	0601-251
Besar	Sumatra	1899	-4.43	103.67	AD 1900-2005	0601-25=
Sekincau Belirang	Sumatra	1719	-5.12	104.32	Holocene	0601-26=
Suoh	Sumatra	1000	-5.25	104.27	AD 1900-2005	0601-27=
Hulubelu	Sumatra	1040	-5.35	104.6	Holocene	0601-28=
Rajabasa	Sumatra	1281	-5.78	105.63	Holocene	0601-29=
Krakatau	Indonesia	813	-6.1	105.42	AD 1900-2005	0602-00=
Danau Complex	Java	1778	-6.2	105.97	Holocene	0603-01=
Karang	Java	1778	-6.27	106.04	Uncertain	0603-02=
Kiaraberes-Gagak	Java	1511	-6.73	106.65	AD 1900-2005	0603-03=
Perbakti	Java	1699	-6.75	106.68	Holocene	0603-04=
Salak	Java	2211	-6.72	106.73	AD 1900-2005	0603-05=
Gede	Java	2958	-6.78	106.98	AD 1900-2005	0603-06=
Patuha	Java	2434	-7.15	107.37	Holocene	0603-07=
Malabar	Java	2343	-7.13	107.65	Uncertain	0603-081
Wayang-Windu	Java	2182	-7.21	107.63	Holocene	0603-08=
Tangkubanparahu	Java	2084	-6.77	107.6	AD 1900-2005	0603-09=
Papandayan	Java	2665	-7.32	107.73	AD 1900-2005	0603-10=
Kendang	Java	2608	-7.23	107.72	Holocene	0603-11=
Kamojang, Kawah	Java	1730	-7.13	107.8	Holocene	0603-12=
Tampomas	Java	1684	-6.77	107.95	Holocene	0603-131
Guntur	Java	2249	-7.13	107.83	AD 0-1899	0603-13=
Galunggung	Java	2168	-7.25	108.05	AD 1900-2005	0603-14=
Talagabodas	Java	2201	-7.21	108.07	Holocene	0603-15=
Karaha, Kawah	Java	1155	-7.12	108.08	Holocene	0603-16=
Cereme	Java	3078	-6.89	108.4	AD 1900-2005	0603-17=
Slamet	Java	3428	-7.24	109.21	AD 1900-2005	0603-18=
Dieng Volc Complex	Java	2565	-7.2	109.92	AD 1900-2005	0603-20=
Sundoro	Java	3136	-7.3	109.99	AD 1900-2005	0603-21=
Sumbing	Java	3371	-7.38	110.06	AD 0-1899	0603-22=
Telomoyo	Java	1894	-7.37	110.4	Holocene	0603-231
Ungaran	Java	2050	-7.18	110.33	Holocene	0603-23=
Merbabu	Java	3145	-7.45	110.43	AD 0-1899	0603-24=
Merapi	Java	2968	-7.54	110.44	AD 1900-2005	0603-25=
Lawu	Java	3265	-7.63	111.19	AD 0-1899	0603-26=
Wilis	Java	2563	-7.81	111.76	Holocene	0603-27=
Kawi-Butak	Java	2651	-7.92	112.45	Holocene	0603-281
Kelut	Java	1731	-7.93	112.31	AD 1900-2005	0603-28=
Penanggungan	Java	1653	-7.62	112.63	Holocene	0603-291
Malang Plain	Java	680	-8.02	112.68	Holocene	0603-292
Arjuno-Welirang	Java	3339	-7.73	112.58	AD 1900-2005	0603-29=
Semeru	Java	3676	-8.11	112.92	AD 1900-2005	0603-30=
Tengger Caldera	Java	2329	-7.94	112.95	AD 1900-2005	0603-31=
Lurus	Java	539	-7.7	113.58	Uncertain	0603-321
Lamongan	Java	1651	-8	113.34	AD 0-1899	0603-32=
Iyang-Argapura	Java	3088	-7.97	113.57	Holocene	0603-33=
Raung	Java	3332	-8.13	114.04	AD 1900-2005	0603-34=
Baluran	Java	1247	-7.85	114.37	Uncertain	0603-351
Ijen	Java	2799	-8.06	114.24	AD 1900-2005	0603-35=
Bratan	Lesser Sunda Is	2276	-8.28	115.13	Holocene	0604-001
Batur	Lesser Sunda Is	1717	-8.24	115.38	AD 1900-2005	0604-01=
Agung	Lesser Sunda Is	3142	-8.34	115.51	AD 1900-2005	0604-02=
Rinjani	Lesser Sunda Is	3726	-8.42	116.47	AD 1900-2005	0604-03=
Tambora	Lesser Sunda Is	2850	-8.25	118	AD 1900-2005	0604-04=
Sangeang Api	Lesser Sunda Is	1949	-8.18	119.06	AD 1900-2005	0604-05=
Sano, Wai	Lesser Sunda Is	903	-8.68	120.03	Holocene	0604-06=
Ranakah	Lesser Sunda Is	2100	-8.62	120.52	AD 1900-2005	0604-071
Poco Leok	Lesser Sunda Is	1675	-8.68	120.48	Holocene	0604-07=
Inierie	Lesser Sunda Is	2245	-8.88	120.95	Holocene	0604-08=
Inielika	Lesser Sunda Is	1559	-8.73	120.98	AD 1900-2005	0604-09=
Ebulobo	Lesser Sunda Is	2124	-8.81	121.18	AD 1900-2005	0604-10=
Iya	Lesser Sunda Is	637	-8.88	121.63	AD 1900-2005	0604-11=
Sukaria Caldera	Lesser Sunda Is	1500	-8.79	121.77	Holocene	0604-12=
Ndete Napu	Lesser Sunda Is	750	-8.72	121.78	Uncertain	0604-13=
Kelimutu	Lesser Sunda Is	1639	-8.76	121.83	AD 1900-2005	0604-14=
Paluweh	Lesser Sunda Is	875	-8.32	121.71	AD 1900-2005	0604-15=
Egon	Lesser Sunda Is	1703	-8.67	122.45	Holocene	0604-16=
Ilimuda	Lesser Sunda Is	1100	-8.48	122.67	Holocene	0604-17=
Lewotobi	Lesser Sunda Is	1703	-8.53	122.78	AD 1900-2005	0604-18=
Leroboleng	Lesser Sunda Is	1117	-8.36	122.84	AD 1900-2005	0604-20=
Riang Kotang	Lesser Sunda Is	200	-8.3	122.89	Uncertain	0604-21=
Iliboleng	Lesser Sunda Is	1659	-8.34	123.26	AD 1900-2005	0604-22=
Lewotolo	Lesser Sunda Is	1423	-8.27	123.51	AD 1900-2005	0604-23=
Ililabalekan	Lesser Sunda Is	1018	-8.53	123.42	Holocene	0604-24=
Iliwerung	Lesser Sunda Is	1018	-8.54	123.59	AD 1900-2005	0604-25=
Tara, Batu	Lesser Sunda Is	748	-7.79	123.58	AD 0-1899	0604-26=
Sirung	Lesser Sunda Is	862	-8.51	124.15	AD 1900-2005	0604-27=
Yersey	Lesser Sunda Is	-3800	-7.53	123.95	Uncertain	0604-28=
Emperor of China	Banda Sea	-2850	-6.62	124.22	Uncertain	0605-01=
Nieuwerkerk	Banda Sea	-2285	-6.6	124.68	Uncertain	0605-02=
Gunungapi Wetar	Banda Sea	282	-6.64	126.65	AD 0-1899	0605-03=
Wurlali	Banda Sea	868	-7.13	128.68	AD 0-1899	0605-04=
Teon	Banda Sea	655	-6.92	129.13	AD 1900-2005	0605-05=
Nila	Banda Sea	781	-6.73	129.5	AD 1900-2005	0605-06=
Serua	Banda Sea	641	-6.3	130	AD 1900-2005	0605-07=
Manuk	Banda Sea	282	-5.53	130.29	Holocene	0605-08=
Banda Api	Banda Sea	640	-4.53	129.87	AD 1900-2005	0605-09=
Colo [Una Una]	Sulawesi-Indonesia	507	-0.17	121.61	AD 1900-2005	0606-01=
Ambang	Sulawesi-Indonesia	1795	0.75	124.42	AD 0-1899	0606-02=
Soputan	Sulawesi-Indonesia	1784	1.11	124.73	AD 1900-2005	0606-03=
Sempu	Sulawesi-Indonesia	1549	1.14	124.73	Holocene	0606-04=
Tondano Caldera	Sulawesi-Indonesia	1202	1.23	124.83	Holocene	0606-07-
Lokon-Empung	Sulawesi-Indonesia	1580	1.36	124.79	AD 1900-2005	0606-10=
Mahawu	Sulawesi-Indonesia	1324	1.36	124.86	AD 1900-2005	0606-11=
Klabat	Sulawesi-Indonesia	1995	1.47	125.03	Holocene	0606-12=
Tongkoko	Sulawesi-Indonesia	1149	1.52	125.2	AD 0-1899	0606-13=
Ruang	Sangihe Is-Indonesia	725	2.28	125.43	AD 1900-2005	0607-01=
Karangetang [Api Siau]	Sangihe Is-Indonesia	1784	2.78	125.48	AD 1900-2005	0607-02=
Banua Wuhu	Sangihe Is-Indonesia	-5	3.14	125.49	AD 1900-2005	0607-03=
Awu	Sangihe Is-Indonesia	1320	3.67	125.5	AD 1900-2005	0607-04=
Unnamed	Sangihe Is-Indonesia	-5000	3.97	124.17	Uncertain	0607-05=
Tarakan	Halmahera-Indonesia	318	1.78	127.79	Holocene	0608-001
Dukono	Halmahera-Indonesia	1185	1.68	127.88	AD 1900-2005	0608-01=
Tobaru	Halmahera-Indonesia	1035	1.63	127.68	Holocene	0608-02-
Ibu	Halmahera-Indonesia	1325	1.48	127.64	AD 1900-2005	0608-03=
Gamkonora	Halmahera-Indonesia	1635	1.38	127.52	AD 1900-2005	0608-04=
Jailolo	Halmahera-Indonesia	1130	1.08	127.42	Holocene	0608-051
Hiri	Halmahera-Indonesia	630	0.88	127.32	Holocene	0608-052
Todoko-Ranu	Halmahera-Indonesia	979	1.22	127.43	Holocene	0608-05=
Tidore	Halmahera-Indonesia	1730	0.65	127.4	Holocene	0608-061
Mare	Halmahera-Indonesia	308	0.57	127.4	Holocene	0608-062
Moti	Halmahera-Indonesia	950	0.45	127.4	Holocene	0608-063
Gamalama	Halmahera-Indonesia	1715	0.8	127.33	AD 1900-2005	0608-06=
Tigalalu	Halmahera-Indonesia	422	0.07	127.42	Holocene	0608-071
Amasing	Halmahera-Indonesia	1030	-0.55	127.5	Holocene	0608-072
Bibinoi	Halmahera-Indonesia	900	-0.78	127.72	Holocene	0608-073
Makian	Halmahera-Indonesia	1357	0.32	127.4	AD 1900-2005	0608-07=
Bombalai	Borneo	531	4.4	117.88	Uncertain	0610-01-
Bud Dajo	Sulu Is-Philippines	440	5.95	121.07	AD 0-1899	0700-01=
Parker	Mindanao-Philippines	1824	6.12	124.89	AD 0-1899	0701-011
Balut	Mindanao-Philippines	852	5.4	125.38	Holocene	0701-01=
Matutum	Mindanao-Philippines	2293	6.37	125.11	Holocene	0701-02=
Leonard Range	Mindanao-Philippines	1190	7.39	126.4	Holocene	0701-031
Unnamed	Mindanao-Philippines	1300	7.44	126.07	Holocene	0701-032
Apo	Mindanao-Philippines	2954	6.99	125.27	Holocene	0701-03=
Makaturing	Mindanao-Philippines	1940	7.65	124.32	Holocene	0701-04=
Latukan	Mindanao-Philippines	2158	7.65	124.47	Holocene	0701-05=
Kalatungan	Mindanao-Philippines	2824	7.95	124.8	Holocene	0701-061
Ragang	Mindanao-Philippines	2815	7.67	124.5	AD 1900-2005	0701-06=
Malindang	Mindanao-Philippines	2435	8.22	123.63	Holocene	0701-071
Balatocan	Mindanao-Philippines	2450	8.8	124.92	Holocene	0701-072
Calayo	Mindanao-Philippines	646	7.88	125.07	AD 0-1899	0701-07=
Camiguin	Mindanao-Philippines	1552	9.2	124.67	AD 1900-2005	0701-08=
Paco	Mindanao-Philippines	524	9.59	125.52	Holocene	0701-09-
Magaso	Philippines-C	1904	9.26	123.18	Holocene	0702-01=
Canlaon	Philippines-C	2435	10.41	123.13	AD 1900-2005	0702-02=
Mandalagan	Philippines-C	1879	10.62	123.22	Holocene	0702-03=
Silay	Philippines-C	1535	10.77	123.23	Holocene	0702-04=
Cabalían	Philippines-C	945	10.29	125.22	Holocene	0702-05=
Mahagnoa	Philippines-C	800	10.87	124.85	Holocene	0702-07=
Biliran	Philippines-C	1187	11.52	124.53	AD 1900-2005	0702-08=
Bulusan	Luzon-Philippines	1565	12.77	124.05	AD 1900-2005	0703-01=
Pocdol Mountains	Luzon-Philippines	1102	13.05	123.96	Holocene	0703-02=
Masaraga	Luzon-Philippines	1328	13.32	123.6	Holocene	0703-031
Mayon	Luzon-Philippines	2462	13.26	123.69	AD 1900-2005	0703-03=
Iriga	Luzon-Philippines	1196	13.46	123.46	AD 0-1899	0703-041
Isarog	Luzon-Philippines	1966	13.66	123.37	Holocene	0703-042
Labo	Luzon-Philippines	1544	14.02	122.79	Holocene	0703-043
Malindig	Luzon-Philippines	1157	13.24	122.02	Holocene	0703-044
Panay	Luzon-Philippines	501	13.72	120.89	Uncertain	0703-045
Malinao	Luzon-Philippines	1548	13.42	123.6	Holocene	0703-04=
Laguna Volc Field	Luzon-Philippines	654	14.12	121.3	AD 0-1899	0703-051
Banahao	Luzon-Philippines	2158	14.07	121.48	Holocene	0703-05=
Maquiling	Luzon-Philippines	1090	14.13	121.2	Holocene	0703-06=
Taal	Luzon-Philippines	400	14	120.99	AD 1900-2005	0703-07=
Mariveles	Luzon-Philippines	1420	14.5	120.5	Holocene	0703-081
Natib	Luzon-Philippines	1287	14.71	120.4	Uncertain	0703-082
Pinatubo	Luzon-Philippines	1486	15.13	120.35	AD 1900-2005	0703-083
Arayat	Luzon-Philippines	1026	15.2	120.74	Uncertain	0703-084
Amorong	Luzon-Philippines	376	15.83	120.81	Holocene	0703-085
Santo Tomas	Luzon-Philippines	2260	16.33	120.55	Uncertain	0703-086
Patoc	Luzon-Philippines	1865	17.15	120.98	Holocene	0703-087
Ambalatungan Group	Luzon-Philippines	2329	17.32	121.1	Holocene	0703-088
Jalajala	Luzon-Philippines	743	14.35	121.33	Uncertain	0703-08=
Cagua	Luzon-Philippines	1133	18.22	122.12	Holocene	0703-09=
Camiguin de Babuyanes	Luzon-N of	712	18.83	121.86	AD 0-1899	0704-01=
Didicas	Luzon-N of	244	19.08	122.2	AD 1900-2005	0704-02=
Babuyan Claro	Luzon-N of	1180	19.52	121.94	AD 1900-2005	0704-03=
Unnamed	Luzon-N of	-24	20.33	121.75	AD 0-1899	0704-05=
Iraya	Luzon-N of	1009	20.47	122.01	AD 0-1899	0704-06-
Leizhou Bandao	SE Asia	259	20.83	109.78	Holocene	0705-01-
Cù-Lao Ré Group	SE Asia	181	15.38	109.12	Holocene	0705-02-
Toroeng Prong	SE Asia	800	14.93	108	Uncertain	0705-03-
Haut Dong Nai	SE Asia	1000	11.6	108.2	Uncertain	0705-04-
Bas Dong Nai	SE Asia	392	10.8	107.2	Uncertain	0705-05-
Cendres, Ile des	SE Asia	-20	10.16	109.01	AD 1900-2005	0705-06-
Veteran	SE Asia	0	9.83	109.05	Holocene	0705-07-
Popa	SE Asia	1518	20.87	95.23	Holocene	0705-08-
Lower Chindwin	SE Asia	385	22.28	95.1	Uncertain	0705-09-
Singu Plateau	SE Asia	507	22.7	95.98	Holocene	0705-10-
Tengchong	SE Asia	2865	25.32	98.47	AD 0-1899	0705-11-
Unnamed	Taiwan-E of	-10	19.17	132.25	Uncertain	0801-011
Unnamed	Taiwan-E of	-6000	20.93	134.75	Uncertain	0801-01=
Unnamed	Taiwan-E of	-115	21.83	121.18	AD 0-1899	0801-02=
Kueishantao	Taiwan	401	24.85	121.92	Uncertain	0801-031
Tatun Group	Taiwan	1120	25.17	121.52	Uncertain	0801-032
Unnamed	Taiwan-E of	0	24	121.83	AD 0-1899	0801-03=
Pengchiahsu	Taiwan-N of	129	25.63	122.07	Uncertain	0801-041
Unnamed	Taiwan-N of	-100	25.42	122.33	AD 0-1899	0801-04=
Zengyu	Taiwan-N of	-418	26.18	122.46	AD 1900-2005	0801-05=
Iriomote-jima	Ryukyu Is	-200	24.56	124	AD 1900-2005	0802-01=
Akuseki-jima	Ryukyu Is	584	29.46	129.6	Holocene	0802-021
Iwo-Tori-shima	Ryukyu Is	212	27.88	128.22	AD 1900-2005	0802-02=
Suwanose-jima	Ryukyu Is	799	29.63	129.72	AD 1900-2005	0802-03=
Kuchino-shima	Ryukyu Is	628	29.96	129.93	Holocene	0802-041
Nakano-shima	Ryukyu Is	979	29.86	129.86	AD 1900-2005	0802-04=
Kuchinoerabu-jima	Ryukyu Is	657	30.44	130.22	AD 1900-2005	0802-05=
Kikai	Ryukyu Is	704	30.79	130.31	AD 1900-2005	0802-06=
Ibusuki Volc Field	Kyushu-Japan	922	31.22	130.57	AD 0-1899	0802-07=
Sumiyoshi-ike	Kyushu-Japan	100	31.77	130.59	Holocene	0802-081
Sakura-jima	Kyushu-Japan	1117	31.59	130.66	AD 1900-2005	0802-08=
Kirishima	Kyushu-Japan	1700	31.93	130.86	AD 1900-2005	0802-09=
Unzen	Kyushu-Japan	1500	32.76	130.29	AD 1900-2005	0802-10=
Aso	Kyushu-Japan	1592	32.88	131.11	AD 1900-2005	0802-11=
Kuju	Kyushu-Japan	1791	33.08	131.25	AD 1900-2005	0802-12=
Tsurumi	Kyushu-Japan	1584	33.28	131.43	AD 0-1899	0802-13=
Abu	Honshu-Japan	571	34.5	131.6	Uncertain	0803-001
Sanbe	Honshu-Japan	1126	35.13	132.62	Holocene	0803-002
Oki-Dogo	Honshu-Japan	151	36.17	133.33	Holocene	0803-003
Izu-Tobu	Honshu-Japan	1406	34.9	139.1	AD 1900-2005	0803-01=
Hakone	Honshu-Japan	1438	35.23	139.02	Holocene	0803-02=
Tateshina	Honshu-Japan	2530	36.1	138.3	Holocene	0803-031
Fuji	Honshu-Japan	3776	35.36	138.73	AD 0-1899	0803-03=
On-take	Honshu-Japan	3063	35.89	137.48	AD 1900-2005	0803-04=
Haku-san	Honshu-Japan	2702	36.15	136.77	AD 0-1899	0803-05=
Norikura	Honshu-Japan	3026	36.1	137.56	Holocene	0803-06=
Washiba-Kumonotaira	Honshu-Japan	2924	36.4	137.5	Holocene	0803-071
Yake-dake	Honshu-Japan	2455	36.22	137.59	AD 1900-2005	0803-07=
Tate-yama	Honshu-Japan	2621	36.57	137.59	AD 0-1899	0803-08=
Niigata-Yake-yama	Honshu-Japan	2400	36.92	138.04	AD 1900-2005	0803-09=
Myoko	Honshu-Japan	2446	36.89	138.12	Holocene	0803-10=
Asama	Honshu-Japan	2568	36.4	138.53	AD 1900-2005	0803-11=
Shiga	Honshu-Japan	2041	36.7	138.52	Uncertain	0803-121
Haruna	Honshu-Japan	1449	36.47	138.88	AD 0-1899	0803-122
Kusatsu-Shirane	Honshu-Japan	2171	36.62	138.54	AD 1900-2005	0803-12=
Hiuchi	Honshu-Japan	2346	36.95	139.28	AD 0-1899	0803-131
Akagi	Honshu-Japan	1828	36.56	139.2	Uncertain	0803-13=
Nantai	Honshu-Japan	2484	36.77	139.5	Holocene	0803-141
Omanago Group	Honshu-Japan	2367	36.78	139.5	Holocene	0803-142
Takahara	Honshu-Japan	1795	36.9	139.78	Holocene	0803-143
Nikko-Shirane	Honshu-Japan	2578	36.8	139.38	AD 0-1899	0803-14=
Numazawa	Honshu-Japan	1100	37.43	139.58	Holocene	0803-151
Nasu	Honshu-Japan	1915	37.12	139.97	AD 1900-2005	0803-15=
Bandai	Honshu-Japan	1819	37.6	140.08	AD 0-1899	0803-16=
Adatara	Honshu-Japan	1718	37.64	140.29	AD 1900-2005	0803-17=
Azuma	Honshu-Japan	2024	37.73	140.25	AD 1900-2005	0803-18=
Hijiori	Honshu-Japan	516	38.6	140.18	Holocene	0803-191
Zao	Honshu-Japan	1841	38.14	140.44	AD 1900-2005	0803-19=
Narugo	Honshu-Japan	470	38.73	140.73	AD 0-1899	0803-20=
Kurikoma	Honshu-Japan	1628	38.96	140.79	AD 1900-2005	0803-21=
Chokai	Honshu-Japan	2233	39.1	140.05	AD 1900-2005	0803-22=
Akita-Komaga-take	Honshu-Japan	1637	39.76	140.8	AD 1900-2005	0803-23=
Iwate	Honshu-Japan	2041	39.85	141	AD 1900-2005	0803-24=
Hachimantai	Honshu-Japan	1614	39.96	140.86	Uncertain	0803-25=
Kanpu	Honshu-Japan	355	39.93	139.88	Holocene	0803-261
Megata	Honshu-Japan	291	39.95	139.73	Holocene	0803-262
Akita-Yake-yama	Honshu-Japan	1366	39.96	140.76	AD 1900-2005	0803-26=
Towada	Honshu-Japan	1159	40.47	140.92	AD 0-1899	0803-271
Iwaki	Honshu-Japan	1625	40.65	140.31	AD 0-1899	0803-27=
Hakkoda Group	Honshu-Japan	1585	40.66	140.88	Holocene	0803-28=
Osore-yama	Honshu-Japan	879	41.28	141.12	AD 0-1899	0803-29=
Mutsu-Hiuchi-dake	Honshu-Japan	781	41.43	141.07	Uncertain	0803-30-
To-shima	Izu Is-Japan	508	34.52	139.28	Holocene	0804-011
Oshima	Izu Is-Japan	764	34.72	139.4	AD 1900-2005	0804-01=
Nii-jima	Izu Is-Japan	432	34.39	139.27	AD 0-1899	0804-02=
Kozu-shima	Izu Is-Japan	572	34.22	139.16	AD 0-1899	0804-03=
Mikura-jima	Izu Is-Japan	851	33.87	139.43	Holocene	0804-041
Kurose Hole	Izu Is-Japan	-107	33.4	139.68	Uncertain	0804-042
Miyake-jima	Izu Is-Japan	815	34.08	139.53	AD 1900-2005	0804-04=
Hachijo-jima	Izu Is-Japan	854	33.13	139.77	AD 0-1899	0804-05=
Myojin Knoll	Izu Is-Japan	360	32.1	139.85	Uncertain	0804-061
Aoga-shima	Izu Is-Japan	423	32.45	139.76	AD 0-1899	0804-06=
Bayonnaise Rocks	Izu Is-Japan	11	31.88	139.92	AD 1900-2005	0804-07=
Smith Rock	Izu Is-Japan	136	31.43	140.05	AD 1900-2005	0804-08=
Omachi Seamount	Izu Is-Japan	-1700	29.22	140.8	Uncertain	0804-091
Nishino-shima	Volcano Is-Japan	38	27.27	140.88	AD 1900-2005	0804-092
Unnamed	Volcano Is-Japan	-3200	26.13	144.48	Uncertain	0804-093
Tori-shima	Izu Is-Japan	394	30.48	140.31	AD 1900-2005	0804-09=
Kaitoku Seamount	Volcano Is-Japan	-103	26.12	141.1	AD 1900-2005	0804-10=
Kita-Iwo-jima	Volcano Is-Japan	792	25.43	141.23	AD 1900-2005	0804-11=
Kita-Fukutokutai	Volcano Is-Japan	-73	24.41	141.42	Holocene	0804-121
Iwo-jima	Volcano Is-Japan	161	24.75	141.29	AD 1900-2005	0804-12=
Minami-Hiyoshi	Volcano Is-Japan	-30	23.5	141.94	AD 1900-2005	0804-131
Nikko	Volcano Is-Japan	-391	23.08	142.31	Uncertain	0804-132
Fukujin	Volcano Is-Japan	-217	21.93	143.47	AD 1900-2005	0804-133
Kasuga	Volcano Is-Japan	-598	21.77	143.71	AD 1900-2005	0804-134
Minami Kasuga	Volcano Is-Japan	-170	21.6	143.64	Holocene	0804-135
Unnamed	Mariana Is-C Pacific	0	21	142.9	Uncertain	0804-136
Unnamed	Mariana Is-C Pacific	0	20.3	143.2	Uncertain	0804-137
Fukutoku-Okanoba	Volcano Is-Japan	-14	24.28	141.49	AD 1900-2005	0804-13=
Ahyi	Mariana Is-C Pacific	-137	20.42	145.03	AD 1900-2005	0804-141
Supply Reef	Mariana Is-C Pacific	-8	20.13	145.1	AD 1900-2005	0804-142
Maug Islands	Mariana Is-C Pacific	227	20.02	145.22	Uncertain	0804-143
Farallon de Pajaros	Mariana Is-C Pacific	360	20.53	144.9	AD 1900-2005	0804-14=
Asuncion	Mariana Is-C Pacific	857	19.67	145.4	AD 1900-2005	0804-15=
Agrigan	Mariana Is-C Pacific	965	18.77	145.67	AD 1900-2005	0804-16=
Pagan	Mariana Is-C Pacific	570	18.13	145.8	AD 1900-2005	0804-17=
Alamagan	Mariana Is-C Pacific	744	17.6	145.83	AD 0-1899	0804-18=
Sarigan	Mariana Is-C Pacific	538	16.71	145.78	Holocene	0804-191
Guguan	Mariana Is-C Pacific	287	17.32	145.85	AD 0-1899	0804-19=
Ruby	Mariana Is-C Pacific	-230	15.62	145.57	AD 1900-2005	0804-201
Anatahan	Mariana Is-C Pacific	788	16.35	145.67	AD 1900-2005	0804-20=
Esmeralda Bank	Mariana Is-C Pacific	-43	15	145.25	Holocene	0804-21=
E-san	Hokkaido-Japan	618	41.8	141.17	AD 0-1899	0805-011
Oshima-Oshima	Hokkaido-Japan	737	41.51	139.37	AD 0-1899	0805-01=
Nigorigawa	Hokkaido-Japan	356	42.12	140.45	Uncertain	0805-021
Komaga-take	Hokkaido-Japan	1140	42.06	140.68	AD 1900-2005	0805-02=
Niseko	Hokkaido-Japan	1154	42.88	140.63	Holocene	0805-031
Yotei	Hokkaido-Japan	1893	42.83	140.82	Holocene	0805-032
Shiribetsu	Hokkaido-Japan	1107	42.77	140.92	Holocene	0805-033
Kuttara	Hokkaido-Japan	581	42.49	141.16	AD 0-1899	0805-034
Usu	Hokkaido-Japan	737	42.54	140.84	AD 1900-2005	0805-03=
Rishiri	Hokkaido-Japan	1719	45.18	141.25	Holocene	0805-041
Shikotsu	Hokkaido-Japan	1320	42.7	141.33	AD 1900-2005	0805-04=
Tokachi	Hokkaido-Japan	2077	43.42	142.69	AD 1900-2005	0805-05=
Nipesotsu-Upepesanke	Hokkaido-Japan	2013	43.45	143.03	AD 0-1899	0805-061
Shikaribetsu Group	Hokkaido-Japan	1430	43.28	143.08	Holocene	0805-062
Daisetsu	Hokkaido-Japan	2290	43.66	142.86	AD 0-1899	0805-06=
Akan	Hokkaido-Japan	1499	43.38	144.01	AD 1900-2005	0805-07=
Mashu	Hokkaido-Japan	855	43.57	144.57	AD 0-1899	0805-081
Rausu	Hokkaido-Japan	1660	44.07	145.13	AD 0-1899	0805-082
Kutcharo	Hokkaido-Japan	999	43.55	144.43	AD 0-1899	0805-08=
Shiretoko-Iwo-zan	Hokkaido-Japan	1563	44.13	145.17	AD 1900-2005	0805-09=
Golovnin	Kuril Is	543	43.84	145.51	AD 0-1899	0900-01=
Smirnov	Kuril Is	1189	44.43	146.13	Holocene	0900-021
Mendeleev	Kuril Is	888	43.98	145.74	AD 0-1899	0900-02=
Tiatia	Kuril Is	1819	44.35	146.26	AD 1900-2005	0900-03=
Lvinaya Past	Kuril Is	528	44.62	147	Holocene	0900-041
Berutarube	Kuril Is	1221	44.46	146.94	Holocene	0900-04=
Atsonupuri	Kuril Is	1206	44.81	147.14	AD 1900-2005	0900-05=
Bogatyr Ridge	Kuril Is	1634	44.83	147.37	Holocene	0900-06-
Unnamed	Kuril Is	-930	45.03	147.21	Uncertain	0900-061
Grozny Group	Kuril Is	1211	45.03	147.92	AD 1900-2005	0900-07=
Baransky	Kuril Is	1132	45.1	148.02	AD 1900-2005	0900-08=
Golets-Tornyi Group	Kuril Is	442	45.25	148.35	Uncertain	0900-091
Chirip	Kuril Is	1587	45.34	147.93	AD 0-1899	0900-09=
